driverId,driverName,image,raceName,racePoints,cumulativePoints,raceDate,raceLatitude,raceLongitude
montoya,Juan Pablo Montoya,https://www.driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F3_4920e25c1179e8cb4151.jpg&w=256&q=75,Monaco GP,4.0,14.0,2005-05-22,43.7347,7.42056
montoya,Juan Pablo Montoya,https://www.driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F3_4920e25c1179e8cb4151.jpg&w=256&q=75,European GP,2.0,16.0,2005-05-29,50.3356,6.9475
montoya,Juan Pablo Montoya,https://www.driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F3_4920e25c1179e8cb4151.jpg&w=256&q=75,Canadian GP,0.0,16.0,2005-06-12,45.5,-73.5228
montoya,Juan Pablo Montoya,https://www.driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F3_4920e25c1179e8cb4151.jpg&w=256&q=75,United States GP,0.0,16.0,2005-06-19,39.795,-86.2347
montoya,Juan Pablo Montoya,https://www.driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F3_4920e25c1179e8cb4151.jpg&w=256&q=75,French GP,0.0,16.0,2005-07-03,46.8642,3.16361
montoya,Juan Pablo Montoya,https://www.driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F3_4920e25c1179e8cb4151.jpg&w=256&q=75,British GP,10.0,26.0,2005-07-10,52.0786,-1.01694
montoya,Juan Pablo Montoya,https://www.driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F3_4920e25c1179e8cb4151.jpg&w=256&q=75,German GP,8.0,34.0,2005-07-24,49.3278,8.56583
montoya,Juan Pablo Montoya,https://www.driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F3_4920e25c1179e8cb4151.jpg&w=256&q=75,Hungarian GP,0.0,34.0,2005-07-31,47.5789,19.2486
montoya,Juan Pablo Montoya,https://www.driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F3_4920e25c1179e8cb4151.jpg&w=256&q=75,Turkish GP,6.0,40.0,2005-08-21,40.9517,29.405
montoya,Juan Pablo Montoya,https://www.driverdb.com/_next/image?url=https%3A%2F%2Fassets.driverdb.com%2Fdrivers%2Fprofile%2F3_4920e25c1179e8cb4151.jpg&w=256&q=75,Italian GP,10.0,50.0,2005-09-04,45.6156,9.28111
